date,ratio,emc,vkh
2012 02 ,2.51,29.61,1039
2012 03 ,2.17,27.25,1027
2012 04 ,1.95,27.49,930
2012 05 ,2.43,28.63,1134
2012 06 ,2.46,27.6,1161
2012 07 ,2.95,26.43,1220
2012 08 ,2.84,27.37,2327
2012 09 ,2.85,26.2,1578
2012 10 ,3.32,22.17,1129
2012 11 ,3.54,19.64,1227
2012 12 ,3.34,19.39,2179
2013 01 ,3.33,19.72,2300
2013 02 ,3.33,20.72,1157
2013 03 ,3.81,24.53,1026
2013 04 ,4.17,26.18,1004
2013 05 ,4.04,27.04,1158
2013 06 ,3.83,25.52,1073
2013 07 ,3.62,26.97,1121
2013 08 ,3.43,28.39,2425
2013 09 ,3.62,29.66,1471
2013 10 ,3.68,28.84,1024
2013 11 ,3.64,26.35,1034
2013 12 ,4.24,29.46,2008
2014 01 ,4.71,32.95,2189
2014 02 ,6,35.83,970
2014 03 ,4.9,33.51,945
2014 04 ,4.66,28.17,913
2014 05 ,4.58,28.11,1053
2014 06 ,4.59,30.66,1040
2014 07 ,4.05,30.76,1038
2014 08 ,3.91,31.57,2296
2014 09 ,3.92,28.31,1522
2014 10 ,3.78,30.34,960
2014 11 ,4.12,31.11,965
2014 12 ,3.48,32.13,1911
2015 01 ,2.99,34.31,2150
2015 02 ,2.87,34.69,948
2015 03 ,2.83,36.74,948
2015 04 ,2.61,36.75,858
2015 05 ,2.85,40.28,1015
2015 06 ,2.78,38.03,1020
2015 07 ,2.84,40.78,1003
2015 08 ,2.77,44.9,2134
2015 09 ,2.66,45.94,1400
2015 10 ,2.34,53.28,905
2015 11 ,2.09,48.47,978
2015 12 ,1.93,43.15,1879
2016 01 ,2.28,46.84,1950
2016 02 ,1.99,48.15,960
2016 03 ,1.73,54.19,881
2016 04 ,1.92,52.98,797
2016 05 ,1.92,49.83,936
2016 06 ,2.59,56.35,902
2016 07 ,2.82,59,865
2016 08 ,2.82,64.99,2142
2016 09 ,2.99,65.59,1335
2016 10 ,2.98,62.26,751
2016 11 ,2.55,58.32,797
2016 12 ,3.59,59.41,1400
2017 01 ,3.3,65.49,1716
2017 02 ,2.85,61.63,821
2017 03 ,2.88,62.69,756
2017 04 ,3.1,69.44,742
2017 05 ,3.15,70.84,887
2017 06 ,2.98,70.95,839
2017 07 ,2.98,74.41,785
2017 08 ,2.9,73.04,1836
2017 09 ,2.98,63.8,1097
2017 10 ,2.88,58.89,717
2017 11 ,3.01,59.08,755
2017 12 ,2.82,61.96,1318
2018 01 ,3.87,54.51,1659
2018 02 ,2.67,59.28,740
2018 03 ,2.69,60.44,705
2018 04 ,2.8,63.98,662
2018 05 ,2.8,63.46,818
2018 06 ,2.97,67.49,722
2018 07 ,2.83,74.12,703
2018 08 ,2.96,72.36,1562
2018 09 ,3,79.92,1101
2018 10 ,3.28,85.8,716
2018 11 ,4.09,94.77,740
2018 12 ,4.04,91.69,1318
2019 01 ,3.11,92.97,1474
2019 02 ,2.69,95.39,723
2019 03 ,2.95,105.45,677
2019 04 ,2.65,112.58,676
2019 05 ,2.64,125.4,785
2019 06 ,2.4,133.88,694
2019 07 ,2.37,133.37,698
2019 08 ,2.22,116.67,1686
2019 09 ,2.56,104.11,1061
2019 10 ,2.33,76.61,721
2019 11 ,2.65,57.31,724
2019 12 ,2.22,41.12,1326
2020 01 ,2.02,41.71,1479
2020 02 ,1.91,39.09,682
2020 03 ,1.79,47.94,652
2020 04 ,1.74,49.65,647
2020 05 ,1.75,59.03,746
2020 06 ,1.63,69.64,678
2020 07 ,1.77,64.15,687
2020 08 ,2.3,71.05,1535
2020 09 ,1.92,69.41,1053
2020 10 ,2.39,75.72,709
2020 11 ,2.61,77.99,714
2020 12 ,2.59,74.47,1300
2021 01 ,2.71,78.33,1404
2021 02 ,5.35,76.39,676
